Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude
LF;LFOI;AD;Abbeville (80);123.5;220;50.1431;1.8325;
LF;LFBA;AD;Agen La Garenne (47);121.3;204;44.1747;0.590556;
LF;LFDA;AD;Aire sur l'Adour (40);118.975;266;43.7086;-0.247222;
LF;LFMA;AD;Aix les Milles (13);118.75;368;43.5053;5.36722;
LF;LFKJ;AD;Ajaccio Napoléon Bonaparte (20);118.075;19;41.9239;8.8025;
LF;LFAQ;AD;Albert Bray (80);119.65;363;49.97;2.6925;
LF;LFCI;AD;Albi Le Sequestre (81);118.95;565;43.9133;2.11667;
LF;LFOF;AD;Alençon Valframbert (61);118.325;476;48.4344;0.108333;
LF;LFMS;AD;Alès Cévennes Deaux (30);130.2;668;44.0728;4.14306;
LF;LFXA;AD;Ambérieu (01);129.75;823;45.9797;5.33778;
LF;LFHT;AD;Ambert Le Poyet (63);123.5;1848;45.5156;3.745;
LF;LFEF;AD;Amboise Dierre (37);118.775;177;47.3406;0.941111;
LF;LFAY;AD;Amiens Glisy (80);123.4;208;49.8731;2.38694;
LF;LFFI;AD;Ancenis (44);118.2;109;47.4072;-1.17889;
LF;LFCD;AD;Andernos les Bains (33);120.4;64;44.755;-1.065;
LF;LFJR;AD;Angers Marcé (49);124.7;194;47.5603;-0.312222;
LF;LFBU;AD;Angoulême Brie Champniers (16);123.15;436;45.7294;0.219167;
LF;LFLP;AD;Annecy Meythet (74);118.2;1521;45.9308;6.10639;
LF;LFLI;AD;Annemasse (74);125.875;1620;46.1919;6.26833;
LF;LFCH;AD;Arcachon La Teste De Buch (33);119.075;52;44.5969;-1.11389;
LF;LFAJ;AD;Argentan (61);123.5;581;48.7094;0.00277778;
LF;LFEG;AD;Argenton Sur Creuse (36);123.5;666;46.5958;1.60111;
LF;LFQD;AD;Arras Roclincourt (62);123.5;337;50.3239;2.80278;
LF;LFHO;AD;Aubenas Ardèche Mérid (Val Lanas) (07);119.85;923;44.5394;4.37167;
LF;LFEH;AD;Aubigny sur Nère (18);123.5;630;47.4806;2.39417;
LF;LFDH;AD;Auch Lamothe (32);123.0;411;43.6869;0.6;
LF;LFLW;AD;Aurillac (15);118.325;2096;44.8975;2.41667;
LF;LFQF;AD;Autun Bellevue (71);123.5;1001;46.9711;4.26111;
LF;LFLA;AD;Auxerre Branches (89);129.8;523;47.8464;3.49667;
LF;LFGE;AD;Avallon (89);123.5;786;47.5019;3.89833;
LF;LFMV;AD;Avignon Caumont (84);122.6;124;43.9067;4.90194;
LF;LFOA;AD;Avord (18);122.1;580;47.0569;2.63889;
LF;LFCB;AD;Bagnère de Luchon (31);123.5;2028;42.8006;0.601111;
LF;LFAO;AD;Bagnoles de l'Orne Couterne (61);123.5;714;48.5447;-0.385;
LF;LFSB;AD;Bâle Mulhouse (68);118.3;885;47.59;7.52917;
LF;LFEU;AD;Bar Le Duc les Hauts de Chée (55);123.5;899;48.8678;5.18417;
LF;LFMR;AD;Barcelonette Saint Pons (04);123.5;3714;44.3872;6.60917;
LF;LFKB;AD;Bastia Poretta (20);118.0;26;42.55;9.48472;
LF;LFGF;AD;Beaune Challanges (21);123.5;656;47.0103;4.89639;
LF;LFOB;AD;Beauvais Tillé (60);121.4;359;49.4544;2.11278;
LF;LFGG;AD;Belfort Chaux (90);123.5;1367;47.7011;6.83083;
LF;LFEA;AD;Belle île en mer (56);118.75;177;47.3261;-3.19889;
LF;LFHN;AD;Bellegarde Vouvray (01);123.5;1626;46.1233;5.80472;
LF;LFAM;AD;Berck sur Mer (62);123.5;32;50.4231;1.59194;
LF;LFBE;AD;Bergerac Roumanière (24);119.8;170;44.8244;0.520556;
LF;LFPD;AD;Bernay Saint Martin (27);119.225;555;49.1025;0.565556;
LF;LFQM;AD;Besançon La Vèze (25);122.2;1270;47.2053;6.08056;
LF;LFSA;AD;Besançon Thise (25);123.5;807;47.2736;6.08306;
LF;LFMU;AD;Béziers Vias (34);120.175;56;43.3233;3.35333;
LF;LFBZ;AD;Biarritz Bayonne Anglet (64);118.7;245;43.4683;-1.53111;
LF;LFBS;AD;Biscarosse Parentis (+Hydrosurface UR) (40);118.95;100;44.3681;-1.13222;
LF;LFOQ;AD;Blois Le Breuil (41);118.45;398;47.6797;1.20583;
LF;LFCS;AD;Bordeaux Léognan Saucats (33);119.0;192;44.6992;-0.597222;
LF;LFBD;AD;Bordeaux Mérignac (33);118.3;166;44.8286;-0.715278;
LF;LFHS;AD;Bourg Ceyzeriat (01);118.45;857;46.2056;5.29167;
LF;LFLD;AD;Bourges (18);119.6;529;47.0608;2.37;
LF;LFRB;AD;Brest Bretagne Guipavas (29);120.1;325;48.4472;-4.42167;
LF;LFEI;AD;Briare Châtillon (45);118.75;539;47.6144;2.78194;
LF;LFFN;AD;Brienne le Château (10);123.425;376;48.4297;4.48222;
LF;LFHR;AD;Brioude Beaumont (43);123.5;1487;45.3239;3.35833;
LF;LFSL;AD;Brive Souillac (19);121.125;1016;45.0397;1.48556;
LF;LFRK;AD;Caen Carpiquet (14);134.525;256;49.1733;-0.45;
LF;LFCC;AD;Cahors Lalbenque (46);119.225;912;44.3506;1.47861;
LF;LFAC;AD;Calais Dunkerque (62);128.925;12;50.9608;1.95139;
LF;LFKC;AD;Calvi Sainte Catherine (20);123.2;210;42.5244;8.79306;
LF;LFYG;AD;Cambrai Niergnies (59);122.925;312;50.1425;3.265;
LF;LFMD;AD;Cannes Mandelieu (06);118.625;14;43.5464;6.95417;
LF;LFMK;AD;Carcassonne Salvaza (11);121.0;434;43.2158;2.30861;
LF;LFNH;AD;Carpentras (84);118.175;388;44.0225;5.09;
LF;LFIG;AD;Cassagnes Bégonhès (12);123.5;2025;44.1783;2.51778;
LF;LFMW;AD;Castelnaudary Villeneuve (11);118.9;551;43.3111;1.92;
LF;LFCX;AD;Castelsarrasin Moissac (82);121.05;243;44.0858;1.12694;
LF;LFCK;AD;Castres Mazamet (81);118.5;785;43.555;2.29056;
LF;LFBC;AD;Cazaux (33);118.4;84;44.535;-1.13139;
LF;LFLH;AD;Chalon Chamforgueuil (71);118.6;623;46.8283;4.81694;
LF;LFQK;AD;Châlons Ecury Sur Coole (51);118.975;321;48.9056;4.35278;
LF;LFOK;AD;Chalons Vatry (51);129.4;586;48.7733;4.20611;
LF;LFLB;AD;Chambéry Aix les Bains (73);118.3;779;45.6392;5.88;
LF;LFLE;AD;Chambéry Challes les Eaux (73);118.4;973;45.5606;5.97583;
LF;LFJY;AD;Chambley (54);119.55;866;49.0256;5.87611;
LF;LFQV;AD;Charleville Mézières (08);126.850;492;49.785;4.64278;
LF;LFOR;AD;Chartres Métropole (28);119.2;509;48.4589;1.52389;
LF;LFMX;AD;Château Arnoux Saint Auban (04);122.3;1507;44.0586;5.99083;
LF;LFFH;AD;Château Thierry Belleau (02);120.375;723;49.0667;3.35556;
LF;LFOC;AD;Châteaudun (28);121.75;433;48.0578;1.37944;
LF;LFLX;AD;Châteauroux Déols (36);125.875;529;46.8603;1.72111;
LF;LFEJ;AD;Châteauroux Villers (36);123.5;542;46.8408;1.62;
LF;LFCA;AD;Châtellerault Targé (86);120.05;210;46.7803;0.550556;
LF;LFQH;AD;Châtillon sur Seine (21);123.5;906;47.8453;4.57944;
LF;LFDW;AD;Chauvigny (86);123.5;442;46.5833;0.642222;
LF;LFPX;AD;Chavenay Villepreux (78);129.525;424;48.8422;1.98028;
LF;LFPH;AD;Chelles Le Pin (77);123.925;208;48.8967;2.60611;
LF;LFRC;AD;Cherbourg Maupertus (50);119.625;459;49.6508;-1.47528;
LF;LFOU;AD;Cholet Le Pontreau (49);120.4;443;47.0819;-0.877222;
LF;LFJC;AD;Clamecy (58);123.5;714;47.4375;3.5075;
LF;LFLC;AD;Clermont Fd Auvergne Aulnat (63);118.625;1092;45.7858;3.1625;
LF;LFXQ;AD;Coetquidan (56);120.375;499;47.9439;-2.18194;
LF;LFBG;AD;Cognac Château Bernard (16);120.075;102;45.6583;-0.3175;
LF;LFGA;AD;Colmar Houssen (68);119.0;627;48.1103;7.35917;
LF;LFAD;AD;Compiègne Margny (60);122.3;316;49.4336;2.80472;
LF;LFID;AD;Condom Valence sur Baïse (32);123.5;444;43.9092;0.386111;
LF;LFJD;AD;Corlier (en bas: 2 619 ft) (01);130.0;2770;46.0397;5.49667;
LF;LFKT;AD;Corte (20);123.5;1130;42.2903;9.1925;
