Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude
LF;ABB;VOR/DME;Abbeville;108.45;220;50.1353;1.85472;
LF;AGN;VOR/DME;Agen Gaudonville;114.8;896;43.8881;0.872778;
LF;AJO;VOR/DME;Ajaccio Coti Chiavari;114.8;2142;41.7706;8.77472;
LF;AMB;VOR/DME;Amboise;113.7;387;47.4289;1.06444;
LF;ANG;VOR;Angers Marcé;113.0;304;47.5369;-0.851944;
LF;AVN;VOR/DME;Avignon Pujault;114.6;159;43.9953;4.74639;
LF;BLM;VOR/DME;Bâle Mulhouse;117.45;886;47.6328;7.49944;
LF;BTA;VOR/DME;Bastia Poretta;114.15;36;42.5736;9.47472;
LF;BVS;VOR;Beauvais Tillé;115.9;301;49.4364;2.15333;
LF;BTZ;VOR/DME;Biarritz Bayonne Anglet;114.15;276;43.4667;-1.51028;
LF;BMC;VOR/DME;Bordeaux Mérignac;113.75;210;44.8269;-0.721111;
LF;BNE;VOR;Boulogne Sur Mer;113.8;584;50.6247;1.90722;
LF;BSN;VOR/DME;Boursonne;114.85;487;49.1883;3.05639;
LF;BRY;VOR/DME;Bray Sur Seine;114.1;289;48.4069;3.29472;
LF;CAN;VOR;Caen Carpiquet;114.45;275;49.1717;-0.455556;
LF;CEN;VOR;Caen VOR => CAN;114.45;275;49.1717;-0.455556;
LF;CMB;VORTAC;Cambrai Épinoy;112.6;299;50.2281;3.15139;
LF;CNM;VOR;Cannes Tanneron;111.4;1595;43.5603;6.87083;
LF;CAV;VOR/DME;Chalon Vatry;111.65;561;48.7811;4.14694;
LF;CBY;VOR/DME;Chambery Alpes Nord;115.4;4783;45.8819;5.75722;
LF;CHW;VOR/DME;Chartres La Loupe;115.2;732;48.48;0.986944;
LF;CAD;VOR/DME;Chateaudun;115.95;450;48.0592;1.38722;
LF;CTL;VOR/DME;Chatillon Sur Marne;117.6;673;49.1378;3.57778;
LF;CFA;VOR/DME;Clermont Fd Auvergne;114.35;1093;45.7875;3.19222;
LF;CNA;VOR/DME;Cognac Ch. Bernard;114.65;106;45.6594;-0.311667;
LF;CLM;VOR/DME;Coulommiers Voisins;112.9;486;48.8447;3.01389;
LF;CRL;VOR;Creil;109.2;325;49.2553;2.51472;
LF;DVL;VOR;Deauville Normandie;110.2;497;49.3108;0.312778;
LF;DPE;VOR;Dieppe;115.8;362;49.9253;1.17056;
LF;DGN;VOR;Digne;113.85;3027;43.9914;6.10083;
LF;DJL;VOR/DME;Dijon Longvic;111.45;744;47.2708;5.09722;
LF;DIN;VOR/DME;Dinard Pleurtuit Saint Malo;114.3;213;48.5861;-2.08222;
LF;EPR;VOR/DME;Epernon;115.65;525;48.6258;1.65667;
LF;EPL;VOR;Épinal Mirecourt;113.0;1154;48.3178;6.05944;
LF;EVX;VOR;Évreux Fauville;112.4;499;49.0317;1.22083;
LF;FGI;VOR/DME;Figari Sud Corse;116.7;144;41.5022;9.08333;
LF;GAI;VOR;Gaillac Castelnau;115.8;979;43.9542;1.82417;
LF;GTQ;VOR/DME;Grostenquin;111.25;1057;48.9864;6.71611;
LF;ITS;VOR/DME;Istres;112.7;85;43.4992;4.94083;
LF;LGL;VOR;L'Aigle (Laigle);115.0;971;48.7906;0.530278;
LF;LCA;VOR;La Châtre;112.1;901;46.6914;2.14972;
LF;LTP;VOR/DME;La Tour Du Pin;115.55;2165;45.4889;5.43917;
LF;LVM;VOR/DME;Le Bourget sur AD Temporaire 30/06/2010;115.050;200;48.9744;2.45389;
LF;LUC;VOR/DME;Le Luc Le Cannet;113.0;266;43.3828;6.25583;
LF;LMB;VOR;Lembeye;111.8;980;43.4667;-0.0183333;
LF;LEQ;VOR/DME;Lille Lesquin;109.0;175;50.5617;3.08917;
LF;LMG;VOR/DME;Limoges;114.5;1375;45.8158;1.02556;
LF;LUL;VOR;Luxeuil;117.1;1072;47.6883;6.29556;
LF;LSE;VOR/DME;Lyon St-Exupery (Satolas);114.75;820;45.7333;5.09056;
LF;MRM;VOR/DME;Marseille Provence;108.8;771;43.3772;5.32639;
LF;MTG;VOR/DME;Martigues;117.3;650;43.3864;5.08694;
LF;MLN;VOR/DME;Melun Villaroche;113.6;349;48.4558;2.81333;
LF;MEN;VOR/DME;Mende Nasbinals;115.3;4514;44.6083;3.1625;
LF;LGH;VOR/DME;Mont de Marsan;111.65;221;43.9108;-0.495;
LF;MTD;VOR;Montdidier;113.65;410;49.5528;2.48944;
LF;MTL;VOR/DME;Montelimar Ancône;113.65;656;44.555;4.78;
LF;MMD;VOR;Montmedy Dun sur Meuse;109.4;1076;49.3914;5.12444;
LF;FJR;VOR/DME;Montpellier Méditerranée;114.45;7;43.5783;3.97472;
LF;ARE;VOR;Monts d'Arrée;112.5;588;48.3328;-3.6025;
LF;MOU;VOR/DME;Moulins (+NDB: 324 kHz);116.7;699;46.7067;3.63167;
LF;MBY;VOR;Moulins Montbeugny;109.6;870;46.5414;3.49944;
LF;NTS;VOR/DME;Nantes Atlantique;115.5;92;47.1608;-1.61306;
LF;NEV;VOR;Nevers;113.4;631;47.1531;2.92944;
LF;CGS;VOR/DME;Nice Cagnes sur Mer;109.2;36;43.6453;7.14583;
LF;AZR;VOR/DME;Nice Cote d'Azur;109.65;12;43.6597;7.22444;
LF;NIZ;VOR/DME;Nice Cote d'Azur Mt Chauve;112.4;2822;43.7706;7.25444;
LF;CGN;VOR/DME;Paris Charles de Gaulle Roissy;115.35;385;49.02;2.5;
LF;PGS;VOR/DME;Paris Charles de Gaulle Roissy;117.05;348;48.9994;2.62389;
LF;BT;VOR/DME;Paris Le Bourget;116.1;200;48.9747;2.45528;
LF;OL;VOR/DME;Paris Orly;111.2;307;48.73;2.38639;
LF;PPG;VOR/DME;Perpignan Rivesaltes;116.25;151;42.7506;2.86722;
LF;PTV;VOR;Pithiviers;116.5;424;48.1556;2.26472;
LF;POI;VOR;Poitiers Biard;113.3;441;46.5811;0.298333;
LF;PON;VOR;Pontoise Cormeilles;111.6;318;49.0961;2.03583;
LF;QPR;VOR/DME;Quimper Pluguffan;117.8;315;47.9572;-4.18472;
LF;RBT;VOR/DME;Rambouillet les Bordes;114.7;604;48.6539;1.99417;
LF;REM;VOR;Reims Champagne;112.3;335;49.3117;4.04528;
LF;REN;VOR/DME;Rennes Saint Jacques;109.25;126;48.0692;-1.74167;
LF;ROA;VOR;Roanne Renaison;110.25;1095;46.0592;3.99917;
LF;RLP;VOR/DME;Rolampont;117.3;1490;47.9064;5.24917;
LF;ROU;VOR;Rouen Vallée de Seine;116.8;560;49.4656;1.28056;
LF;SFC;VOR;Saint Flour Coltines;109.8;3212;45.0664;2.99083;
LF;STP;VOR/DME;Saint Tropez;116.5;1089;43.2194;6.60194;
LF;SAU;VOR;Sauveterre de Guyenne;116.8;405;44.6769;-0.153056;
LF;SAV;VOR/DME;Saverne;110.45;1021;48.7961;7.44806;
LF;STR;VOR/DME;Strasbourg Entzheim;115.6;577;48.5053;7.57194;
LF;TBO;VOR/DME;Tarbes;113.9;1039;43.3322;0.145833;
LF;TIS;VOR/DME;Thiers;117.5;2258;45.8819;3.55361;
LF;TOU;VOR/DME;Toulouse Blagnac;117.7;574;43.6808;1.30972;
LF;TSU;VOR;Toussus le Noble;108.25;547;48.7536;2.1025;
LF;TRO;VOR;Troyes Barberey;116.0;859;48.2511;3.96306;
LF;VNE;VOR;Vienne Reventin;108.2;900;45.5564;4.88333;
